Song_ID,Chart_Year,Chart_Position,Title,Num_of_Artists,Artist(s),Main_ArtistOne_ID,Main_ArtistTwo_ID,Main_ArtistThree_ID,Main_ArtistFour_ID,Featured_ArtistOne_ID,Featured_ArtistTwo_ID,Featured_ArtistThree_ID,Released_Date,Genre_ID,Song_Length,Album,log Spotify_streams,Spotify_Streams,Genre_ID,Genre_Type
72,2020,72,Hot,2,Young Thug featuring Gunna,275,,,,96,,,11/8/2019,14,279,So Much Fun,8.679691659,478290395,14,Hip-Hop
73,2020,73,I Hope You're Happy Now,2,Carly Pearce and Lee Brice,42,149,,,,,,2/28/2020,6,198,Carly Pearce,8.364237971,231333203,6,Country Pop
74,2020,74,Emotionally Scarred,1,Lil Baby,151,,,,,,,3/13/2020,14,197,My Turn,8.504204371,319304009,14,Hip-Hop
75,2020,75,Suicidal,2,YNW Melly featuring Juice Wrld,273,,,,127,,,8/9/2019,14,222,Melly vs. Melvin,8.795940388,625086887,14,Hip-Hop
76,2020,76,The Bigger Picture,1,Lil Baby,151,,,,,,,6/12/2020,14,252,The Bigger Picture,8.426172212,266791637,14,Hip-Hop
77,2020,77,Only Human,1,Jonas Brothers,124,,,,,,,9/13/2019,23,183,Happiness Begins,8.729071444,535884807,23,Pop
78,2020,78,The Woo,3,Pop Smoke featuring 50 Cent and Roddy Ricch,206,,,,7,218,,4/3/2020,14,201,Shoot For The Stars Aim For The Moon,8.771048153,590266523,14,Hip-Hop
79,2020,79,Sum 2 Prove,1,Lil Baby,151,,,,,,,2/7/2020,14,205,Sum 2 Prove,8.695966129,496553593,14,Hip-Hop
80,2020,80,Stuck with U,2,Ariana Grande and Justin Bieber,12,130,,,,,,5/8/2020,23,228,Stuck with U,9.089778625,1229641819,23,Pop
81,2020,81,Mood Swings,2,Pop Smoke featuring Lil Tjay,206,,,,155,,,4/3/2020,14,213,Shoot For The Stars Aim For The Moon,8.932476136,856004674,14,Hip-Hop
82,2020,82,You Should Be Sad,1,Halsey,100,,,,,,,1/10/2020,23,205,Manic,8.765159347,582316837,23,Pop
83,2020,83,Dior,1,Pop Smoke,206,,,,,,,2/7/2019,14,216,Meet The Woo,9.064321305,1159634975,14,Hip-Hop
84,2020,84,Supalonely,2,Benee featuring Gus Dapperton,22,,,,97,,,2/22/2019,23,223,STELLA & STEVE,8.882114583,762280102,23,Pop
85,2020,85,Even Though I'm Leaving,1,Luke Combs,160,,,,,,,9/13/2019,5,225,What You See Is What You Get,8.441482127,276364418,5,Country
86,2020,86,The Scotts,1,The Scotts (Travis Scott and Kid Cudi),250,,,,,,,5/4/2020,14,165,The Scotts,8.9213167,834289351,14,Hip-Hop
87,2020,87,Juicy,2,Doja Cat and Tyga,69,260,,,,,,4/5/2019,14,203,Hot Pink,8.586760312,386153799,14,Hip-Hop
88,2020,88,Be Like That,3,"Kane Brown, Swae Lee and Khalid",135,242,141,,,,,7/10/2020,23,191,Be Like That,8.633383683,429916074,23,Pop
89,2020,89,Homesick,1,Kane Brown,135,,,,,,,1/10/2020,23,205,Experiment Extended,8.244435749,175564114,23,Pop
90,2020,90,Rags2Riches,2,Rod Wave featuring ATR Son Son,217,,,,15,,,3/6/2020,14,167,Pray $ Love,8.224369712,167636935,14,Hip-Hop
91,2020,91,Bluebird,1,Miranda Lambert,176,,,,,,,3/13/2020,5,209,Wildcard,8.27482002,188286863,5,Country
92,2020,92,Wishing Well,1,Juice Wrld,127,,,,,,,1/24/2020,14,194,Legends Never Die,8.998635077,996862083,14,Hip-Hop
93,2020,93,Does to Me,2,Luke Combs featuring Eric Church,160,,,,81,,,1/24/2020,5,223,What You See Is What You Get,8.28125204,191096195,5,Country
94,2020,94,Pussy Fairy (OTW),1,Jhené Aiko,119,,,,,,,12/6/2019,26,181,Pussy Fairy (OTW),8.327519792,212578722,26,R&B
95,2020,95,ILY (I Love You Baby),2,Surf Mesa featuring Emilee,240,,,,78,,,2/7/2020,23,176,ily,8.985201426,966499037,23,Pop
96,2020,96,More Than My Hometown,1,Morgan Wallen,179,,,,,,,1/10/2020,5,216,Dangerous,8.775055921,595738848,5,Country
97,2020,97,Lovin' on You,1,Luke Combs,160,,,,,,,3/13/2020,5,194,What You See Is What You Get,8.365404587,231955453,5,Country
98,2020,98,Said Sum,1,Moneybagg Yo,177,,,,,,,2/14/2020,14,155,Code Red,8.167378581,147020732,14,Hip-Hop
99,2020,99,Slide,2,H.E.R. featuring YG,99,,,,271,,,12/20/2019,14,236,Back of My Mind,8.37173375,235360593,14,Hip-Hop
100,2020,100,Walk Em Down,2,NLE Choppa featuring Roddy Ricch,191,,,,218,,,10/11/2019,14,173,Top Shotta,8.789211497,615476530,14,Hip-Hop
101,2021,1,Levitating,1,Dua Lipa,73,,,,,,,3/27/2020,23,203,Future Nostalgia,9.017904747,1042088845,23,Pop
102,2021,2,Save Your Tears,2,The Weeknd and Ariana Grande,251,12,,,,,,8/9/2020,30,215,After Hours,9.359630519,2288919502,30,Synth-pop
103,2021,3,Blinding Lights,1,The Weeknd,251,,,,,,,11/29/2019,31,200,After Hours,9.672419875,4703486206,31,Synthwave
104,2021,4,Mood,2,24kGoldn featuring Iann Dior,4,,,,104,,,7/10/2020,23,140,El Dorado,9.304778165,2017335657,23,Pop
105,2021,5,Good 4 U,1,Olivia Rodrigo,195,,,,,,,5/14/2021,24,178,SOUR,9.376316779,2378574614,24,Pop Punk
106,2021,6,Kiss Me More,2,Doja Cat featuring SZA,69,,,,243,,,4/9/2021,23,208,Planet her,9.313579671,2058636510,23,Pop
107,2021,7,Leave the Door Open,1,Silk Sonic (Bruno Mars and Anderson .Paak),234,,,,,,,3/5/2021,26,242,An Evening With Silk Sonic,9.167383736,1470224773,26,R&B
108,2021,8,Drivers License,1,Olivia Rodrigo,195,,,,,,,1/8/2021,23,242,SOUR,9.385893285,2431606443,23,Pop
109,2021,9,Montero (Call Me by Your Name),1,Lil Nas X,154,,,,,,,3/26/2021,23,137,MONTERO,9.30857823,2035064740,23,Pop
110,2021,10,Peaches,3,Justin Bieber featuring Daniel Caesar and Giveon,130,,,,61,92,,3/19/2021,26,198,Justice,9.240254549,1738819689,26,R&B
111,2021,11,Butter,1,BTS,38,,,,,,,5/21/2021,23,164,"Butter (Hotter, Sweeter, Cooler)",9.125739039,1335792618,23,Pop
112,2021,12,Stay,2,The Kid Laroi and Justin Bieber,249,130,,,,,,7/9/2021,23,141,STAY (with Justin Bieber),9.54303368,3491673927,23,Pop
113,2021,13,Deja Vu,1,Olivia Rodrigo,195,,,,,,,4/1/2021,23,215,SOUR,9.270305804,1863398769,23,Pop
114,2021,14,Positions,1,Ariana Grande,12,,,,,,,10/23/2020,23,172,Positions,9.196149327,1570902846,23,Pop
115,2021,15,Bad Habits,1,Ed Sheeran,75,,,,,,,6/25/2021,23,230,=,9.277126272,1892893902,23,Pop
116,2021,16,Heat Waves,1,Glass Animals,93,,,,,,,6/29/2020,16,238,Dreamland,9.522033457,3326851816,16,Indie Pop
117,2021,17,Without You,1,The Kid Laroi,249,,,,,,,12/11/2020,23,161,F*CK LOVE 3+: OVER YOU,8.994459061,987322560,23,Pop
118,2021,18,Forever After All,1,Luke Combs,160,,,,,,,10/23/2020,5,232,What You See Ain't Always What You Get,8.74371105,554256826,5,Country
119,2021,19,Go Crazy,2,Chris Brown and Young Thug,49,275,,,,,,5/8/2020,26,176,Slime & B,8.873369914,747084823,26,R&B
120,2021,20,Astronaut in the Ocean,1,Masked Wolf,169,,,,,,,6/8/2019,14,132,Astronaut In The Ocean,9.1216489,1323271319,14,Hip-Hop
121,2021,21,34+35,3,Ariana Grande featuring Doja Cat and Megan Thee Stallion,12,,,,69,171,,10/30/2020,23,173,Positions,9.025654275,1060850720,23,Pop
122,2021,22,What You Know Bout Love,1,Pop Smoke,206,,,,,,,9/18/2020,26,160,Shoot For The Stars Aim For The Moon,9.095457409,1245826054,26,R&B
123,2021,23,My Ex's Best Friend,2,Machine Gun Kelly featuring Blackbear,161,,,,29,,,9/4/2020,24,139,Tickets To My Downfall,8.864667534,732263747,24,Pop Punk
124,2021,24,Industry Baby,2,Lil Nas X and Jack Harlow,154,110,,,,,,7/23/2021,14,212,INDUSTRY BABY,9.330890878,2142352241,14,Hip-Hop
125,2021,25,Therefore I Am,1,Billie Eilish,26,,,,,,,11/12/2020,23,173,Happier Than Ever ,8.951882074,895121676,23,Pop
126,2021,26,Up,1,Cardi B,41,,,,,,,2/5/2021,14,156,Up,8.843461341,697366917,14,Hip-Hop
127,2021,27,Fancy Like,1,Walker Hayes,265,,,,,,,6/4/2021,5,161,Country Stuff The Album,8.566177247,368279247,5,Country
128,2021,28,Dakiti,2,Bad Bunny and Jhay Cortez,17,118,,,,,,10/23/2020,27,205,Dakiti,9.336295114,2169177616,27,Reggaeton
129,2021,29,Best Friend,2,Saweetie featuring Doja Cat,226,,,,69,,,2/19/2021,23,155,Best Friend,8.80498837,638246394,23,Pop
130,2021,30,Rapstar,1,Polo G,204,,,,,,,4/9/2021,14,165,Hall of Fame,9.019314337,1045476648,14,Hip-Hop
131,2021,31,Heartbreak Anniversary,1,Giveon,92,,,,,,,10/23/2020,26,196,Heartbreak Anniversary,9.130196887,1349574571,26,R&B
132,2021,32,For the Night,3,Pop Smoke featuring Lil Baby and DaBaby,206,,,,151,59,,7/3/2020,14,190,Shoot For The Stars Aim For The Moon,9.071971922,1180244327,14,Hip-Hop
133,2021,33,Calling My Phone,2,Lil Tjay and 6lack,155,8,,,,,,2/12/2021,26,205,Destined 2 Win,8.930652842,852418452,26,R&B
134,2021,34,Beautiful Mistakes,2,Maroon 5 featuring Megan Thee Stallion,167,,,,171,,,3/3/2021,23,227,JORDI,8.905950317,805286312,23,Pop
135,2021,35,Holy,2,Justin Bieber featuring Chance the Rapper,130,,,,44,,,9/18/2020,23,212,Justice,8.920320341,832377517,23,Pop
136,2021,36,On Me,1,Lil Baby,151,,,,,,,10/23/2020,14,135,On Me,8.617448465,414427404,14,Hip-Hop
137,2021,37,You Broke Me First,1,Tate McRae,244,,,,,,,5/29/2020,23,170,TOO YOUNG TO BE SAD,9.227322142,1687804506,23,Pop
138,2021,38,Traitor,1,Olivia Rodrigo,195,,,,,,,7/21/2021,23,229,SOUR,9.271110203,1866853346,23,Pop
139,2021,39,Back in Blood,2,Pooh Shiesty featuring Lil Durk,205,,,,152,,,11/20/2020,14,184,Back In Blood,8.632376973,428920667,14,Hip-Hop
140,2021,40,I Hope,2,Gabby Barrett featuring Charlie Puth,90,,,,46,,,6/9/2019,6,210,Goldmine,8.630141235,426718267,6,Country Pop
141,2021,41,Dynamite,1,BTS,38,,,,,,,8/21/2020,18,199,BE,9.305454436,2020479441,18,K-pop
